"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "XML", "Markdown", "Properties", "TypeScript JSX", "Ignore", "CSS", "Java", "comment", "blank", "total"
"h:\cursor\for_fun\genarate-svg - vercel\src\lib\llm-config.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 16
"h:\cursor\for_fun\genarate-svg - vercel\src\lib\logger.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 33
"h:\cursor\for_fun\genarate-svg - vercel\src\lib\memory.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 24
"h:\cursor\for_fun\genarate-svg - vercel\src\lib\models\prompt.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 52
"h:\cursor\for_fun\genarate-svg - vercel\src\lib\models\svg.ts", "TypeScript", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14, 93
"h:\cursor\for_fun\genarate-svg - vercel\src\lib\models\user.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 51
"h:\cursor\for_fun\genarate-svg - vercel\src\lib\prisma.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"h:\cursor\for_fun\genarate-svg - vercel\src\lib\utils.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"h:\cursor\for_fun\genarate-svg - vercel\src\main\java\config\SwaggerConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 3, 33
"h:\cursor\for_fun\genarate-svg - vercel\src\middleware.ts", "TypeScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 77
"h:\cursor\for_fun\genarate-svg - vercel\src\pages\_app.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"h:\cursor\for_fun\genarate-svg - vercel\src\pages\api-docs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 1, 4, 26
"h:\cursor\for_fun\genarate-svg - vercel\src\pages\api\users.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 26, 1, 39
"h:\cursor\for_fun\genarate-svg - vercel\src\providers\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 5, 19
"h:\cursor\for_fun\genarate-svg - vercel\src\routes\example.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 2, 35
"h:\cursor\for_fun\genarate-svg - vercel\src\schemas\index.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"h:\cursor\for_fun\genarate-svg - vercel\src\services\svg\generator.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
"h:\cursor\for_fun\genarate-svg - vercel\src\store\editor.ts", "TypeScript", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 63
"h:\cursor\for_fun\genarate-svg - vercel\src\styles\feedback-dialog.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 18
"h:\cursor\for_fun\genarate-svg - vercel\src\styles\swagger-ui.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"h:\cursor\for_fun\genarate-svg - vercel\src\swagger.js", "JavaScript", 510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 512
"h:\cursor\for_fun\genarate-svg - vercel\src\types\database.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 40
"h:\cursor\for_fun\genarate-svg - vercel\src\types\environment.d.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"h:\cursor\for_fun\genarate-svg - vercel\src\types\next-auth.d.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"h:\cursor\for_fun\genarate-svg - vercel\src\types\svg.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"h:\cursor\for_fun\genarate-svg - vercel\tailwind.config.ts", "TypeScript", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 80
"h:\cursor\for_fun\genarate-svg - vercel\tsconfig.json", "JSON with Comments", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46
"h:\cursor\for_fun\genarate-svg - vercel\types\next-auth.d.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"Total", "-", 556, 69, 3253, 15119, 16, 23, 9, 10719, 5, 185, 30, 1752, 1590, 33326
