"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "XML", "Markdown", "Properties", "TypeScript JSX", "Ignore", "CSS", "Java", "comment", "blank", "total"
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\community\[id]\like\route.ts", "TypeScript", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 43, 10, 119
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\community\[id]\share\route.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 37, 9, 93
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\community\route.ts", "TypeScript", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 50, 13, 169
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\dashboard\recent-edits\route.ts", "TypeScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 24, 8, 86
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\dashboard\stats\route.ts", "TypeScript", 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 47, 15, 187
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\debug\check-svg\[id]\route.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\feedback\[id]\route.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 69, 9, 129
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\feedback\route.ts", "TypeScript", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 92, 27, 263
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\generate\route.ts", "TypeScript", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 41, 20, 147
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\my-svgs\[id]\route.ts", "TypeScript", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 76, 14, 201
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\my-svgs\route.ts", "TypeScript", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 57, 14, 156
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\prompts\[id]\route.ts", "TypeScript", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 87, 12, 174
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\prompts\route.ts", "TypeScript", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 55, 8, 119
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\register\route.ts", "TypeScript", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 47, 11, 115
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\svg\[id].ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\svg\[id]\route.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 27, 8, 70
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\svg\create.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\svg\export\route.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 23, 3, 41
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\svg\route.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 29, 3, 48
"h:\cursor\for_fun\genarate-svg - vercel\src\app\api\svg\update.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
